country,code,per_capita_co2_emissions
Qatar,QAT,38.61042
New Caledonia,NCL,29.864318
Trinidad and Tobago,TTO,27.142572
Kuwait,KWT,25.560268
Brunei,BRN,20.990042
Bahrain,BHR,20.934996
Mongolia,MNG,20.314325
United Arab Emirates,ARE,19.515204
Sint Maarten (Dutch part),SXM,17.933524
Saudi Arabia,SAU,16.987645
Kazakhstan,KAZ,16.915414
Australia,AUS,16.308204
United States,USA,16.059735
Luxembourg,LUX,15.884502
Canada,CAN,15.413929
Democratic Republic of Congo,COD,0.026301
Somalia,SOM,0.043875
Burundi,BDI,0.050281
Chad,TCD,0.064606
Central African Republic,CAF,0.064837
Malawi,MWI,0.078713
Rwanda,RWA,0.087979
Niger,NER,0.0916
Uganda,UGA,0.124944
Sierra Leone,SLE,0.131456
South Sudan,SSD,0.143273
Ethiopia,ETH,0.145033
Madagascar,MDG,0.148868
Guinea-Bissau,GNB,0.167078
Mali,MLI,0.172673
