Region,Year,CO2emissions
Africa,1900,0.002330304
Africa,1901,0.003909488
Africa,1902,0.00582576
Africa,1903,0.00789592
Africa,1904,0.008910848
Africa,1905,0.010262864
Africa,1906,0.011717472000000001
Africa,1907,0.012930256000000001
Africa,1908,0.013402912000000001
Africa,1909,0.015385136
Africa,1910,0.017411328
Africa,1911,0.016865392
Africa,1912,0.0179536
Africa,1913,0.019606064000000003
Africa,1914,0.019551104
Africa,1915,0.019606064000000003
Africa,1916,0.023255408
Africa,1917,0.025343888000000002
Africa,1918,0.024724672000000003
Africa,1919,0.025442816
Africa,1920,0.028051584
Africa,1921,0.027985632000000003
Africa,1922,0.023969888
Africa,1923,0.029044528000000003
Africa,1924,0.030631040000000002
Africa,1925,0.032184576
Africa,1926,0.034437936
Africa,1927,0.033840704
Africa,1928,0.034770319
Africa,1929,0.035801618
Africa,1930,0.033695674
Africa,1931,0.029463712000000003
Africa,1932,0.026622752000000003
Africa,1933,0.028491130000000003
Africa,1934,0.032539280000000004
Africa,1935,0.035909542
Africa,1936,0.039015954000000005
Africa,1937,0.041844264000000006
Africa,1938,0.044013164
Africa,1939,0.046852928
Africa,1940,0.049649188000000004
Africa,1941,0.05402346
Africa,1942,0.058822885000000005
Africa,1943,0.060119628
Africa,1944,0.066632909
Africa,1945,0.067527186
Africa,1946,0.068159365
Africa,1947,0.067934744
Africa,1948,0.071733138
Africa,1949,0.077323523
Africa,1950,0.09342652200000001
Africa,1951,0.09983277400000001
Africa,1952,0.10884940200000001
Africa,1953,0.11077413500000001
Africa,1954,0.11612027400000001
Africa,1955,0.128017997
Africa,1956,0.133461818
Africa,1957,0.139894458
Africa,1958,0.148242223
Africa,1959,0.14784122200000002
Africa,1960,0.156567173
Africa,1961,0.16199432700000002
Africa,1962,0.16633487900000002
Africa,1963,0.176334853
Africa,1964,0.193639315
Africa,1965,0.21363436800000002
Africa,1966,0.22108207900000001
Africa,1967,0.23704515
Africa,1968,0.257285929
Africa,1969,0.27791598300000003
Africa,1970,0.302623915
Africa,1971,0.33187982800000004
Africa,1972,0.351902471
Africa,1973,0.37805509000000004
Africa,1974,0.388468523
Africa,1975,0.38738283100000004
Africa,1976,0.42027638900000003
Africa,1977,0.433117148
Africa,1978,0.46262526400000004
Africa,1979,0.49917375700000005
Africa,1980,0.535820406
Africa,1981,0.5487433260000001
Africa,1982,0.571895273
Africa,1983,0.594711155
Africa,1984,0.6494626960000001
Africa,1985,0.6658807840000001
Africa,1986,0.689826351
Africa,1987,0.68984071
Africa,1988,0.724939491
Africa,1989,0.698088072
Africa,1990,0.656407657
Africa,1991,0.6856114120000001
Africa,1992,0.667640427
Africa,1993,0.7077861000000001
Africa,1994,0.718541984
Africa,1995,0.770286058
Africa,1996,0.780461249
Africa,1997,0.8100908880000001
Africa,1998,0.83504623
Africa,1999,0.827010274
Africa,2000,0.888145374
Africa,2001,0.882266141
Africa,2002,0.8873236170000001
Africa,2003,0.9626263340000001
Africa,2004,1.0310234870000001
Africa,2005,1.048209344
Africa,2006,1.08678311
Africa,2007,1.1285262090000001
Africa,2008,1.1815074460000001
Africa,2009,1.192534016
Africa,2010,1.213858987
Africa,2011,1.2419738470000001
Africa,2012,1.2498852280000001
Africa,2013,1.2679105750000002
Africa,2014,1.3587052160000002
Africa,2015,1.31264943
Africa,2016,1.337081656
Africa,2017,1.390056138
Africa,2018,1.4257336330000001
Africa,2019,1.4487929160000002
Asia (excl. China & India),1900,0.032979522000000004
Asia (excl. China & India),1901,0.038114139000000005
Asia (excl. China & India),1902,0.038788905000000005
Asia (excl. China & India),1903,0.04113826
Asia (excl. China & India),1904,0.046323241
Asia (excl. China & India),1905,0.046944317000000006
Asia (excl. China & India),1906,0.051727126000000005
Asia (excl. China & India),1907,0.05664483100000001
Asia (excl. China & India),1908,0.059462169
Asia (excl. China & India),1909,0.061993991000000005
Asia (excl. China & India),1910,0.06344029200000001
Asia (excl. China & India),1911,0.06954787400000001
Asia (excl. China & India),1912,0.075584122
Asia (excl. China & India),1913,0.08312232300000001
Asia (excl. China & India),1914,0.085789926
Asia (excl. China & India),1915,0.07931911300000001
Asia (excl. China & India),1916,0.08755572
Asia (excl. China & India),1917,0.09615114200000001
Asia (excl. China & India),1918,0.093248941
Asia (excl. China & India),1919,0.10299712500000001
Asia (excl. China & India),1920,0.100656408
Asia (excl. China & India),1921,0.09593451400000001
Asia (excl. China & India),1922,0.104898237
Asia (excl. China & India),1923,0.115267036
Asia (excl. China & India),1924,0.124457151
Asia (excl. China & India),1925,0.13004784
Asia (excl. China & India),1926,0.136142795
Asia (excl. China & India),1927,0.150263427
Asia (excl. China & India),1928,0.16213289
Asia (excl. China & India),1929,0.16986668000000002
Asia (excl. China & India),1930,0.16796745500000002
Asia (excl. China & India),1931,0.16031045300000002
Asia (excl. China & India),1932,0.165074406
Asia (excl. China & India),1933,0.18647433500000002
Asia (excl. China & India),1934,0.21125294900000002
Asia (excl. China & India),1935,0.22738058600000002
Asia (excl. China & India),1936,0.252800146
Asia (excl. China & India),1937,0.27433614700000003
Asia (excl. China & India),1938,0.28812709000000003
Asia (excl. China & India),1939,0.300312686
Asia (excl. China & India),1940,0.33492765
Asia (excl. China & India),1941,0.31632329000000003
Asia (excl. China & India),1942,0.269049393
Asia (excl. China & India),1943,0.287386028
Asia (excl. China & India),1944,0.29409588600000003
Asia (excl. China & India),1945,0.223949944
Asia (excl. China & India),1946,0.23257175600000002
Asia (excl. China & India),1947,0.291786404
Asia (excl. China & India),1948,0.29927794900000004
Asia (excl. China & India),1949,0.34815248400000004
Asia (excl. China & India),1950,0.34404048400000004
Asia (excl. China & India),1951,0.298509786
Asia (excl. China & India),1952,0.31957161500000003
Asia (excl. China & India),1953,0.34868187
Asia (excl. China & India),1954,0.37073405400000004
Asia (excl. China & India),1955,0.41907767500000004
Asia (excl. China & India),1956,0.46660192300000003
Asia (excl. China & India),1957,0.512226427
Asia (excl. China & India),1958,0.534573838
Asia (excl. China & India),1959,0.569938927
Asia (excl. China & India),1960,0.6468635650000001
Asia (excl. China & India),1961,0.721204193
Asia (excl. China & India),1962,0.769883183
Asia (excl. China & India),1963,0.844664107
Asia (excl. China & India),1964,0.9291882450000001
Asia (excl. China & India),1965,1.019026065
Asia (excl. China & India),1966,1.112682642
Asia (excl. China & India),1967,1.2307205330000002
Asia (excl. China & India),1968,1.3717243250000002
Asia (excl. China & India),1969,1.531398912
Asia (excl. China & India),1970,1.7355869920000002
Asia (excl. China & India),1971,1.879970917
Asia (excl. China & India),1972,1.9811961590000002
Asia (excl. China & India),1973,2.168166343
Asia (excl. China & India),1974,2.202475675
Asia (excl. China & India),1975,2.196303967
Asia (excl. China & India),1976,2.3689451950000002
Asia (excl. China & India),1977,2.486320579
Asia (excl. China & India),1978,2.512627471
Asia (excl. China & India),1979,2.6413137090000003
Asia (excl. China & India),1980,2.653058428
Asia (excl. China & India),1981,2.619212725
Asia (excl. China & India),1982,2.630513429
Asia (excl. China & India),1983,2.699886386
Asia (excl. China & India),1984,2.816208854
Asia (excl. China & India),1985,2.9275011220000002
Asia (excl. China & India),1986,3.011269495
Asia (excl. China & India),1987,3.06949774
Asia (excl. China & India),1988,3.320977479
Asia (excl. China & India),1989,3.447664756
Asia (excl. China & India),1990,3.5717751160000004
Asia (excl. China & India),1991,3.7318382260000003
Asia (excl. China & India),1992,3.831660083
Asia (excl. China & India),1993,3.9653938380000002
Asia (excl. China & India),1994,4.081453883
Asia (excl. China & India),1995,4.093440198000001
Asia (excl. China & India),1996,4.2288274260000005
Asia (excl. China & India),1997,4.301650264
Asia (excl. China & India),1998,4.169575012
Asia (excl. China & India),1999,4.363666386
Asia (excl. China & India),2000,4.667131287
Asia (excl. China & India),2001,4.735071656000001
Asia (excl. China & India),2002,4.867947817
Asia (excl. China & India),2003,5.05995623
Asia (excl. China & India),2004,5.308512948000001
Asia (excl. China & India),2005,5.405562615
Asia (excl. China & India),2006,5.550583341
Asia (excl. China & India),2007,5.699810096
Asia (excl. China & India),2008,5.8702993690000005
Asia (excl. China & India),2009,5.905358400000001
Asia (excl. China & India),2010,6.148203699000001
Asia (excl. China & India),2011,6.366229985
Asia (excl. China & India),2012,6.663570442
Asia (excl. China & India),2013,6.591311302
Asia (excl. China & India),2014,6.724339296
Asia (excl. China & India),2015,6.9334501390000005
Asia (excl. China & India),2016,7.028698370000001
Asia (excl. China & India),2017,7.166304281
Asia (excl. China & India),2018,7.369321849
Asia (excl. China & India),2019,7.450834199000001
China,1900,0
China,1901,0
China,1902,9.5264e-5
China,1903,0.0019639040000000003
China,1904,0.00208848
China,1905,0.002297328
China,1906,0.017110880000000002
China,1907,0.016839744
China,1908,0.022731456
China,1909,0.020837168
China,1910,0.018748688
China,1911,0.0278464
China,1912,0.009786544000000001
China,1913,0.010757504000000001
China,1914,0.015106672000000002
China,1915,0.016088624
China,1916,0.017964592
China,1917,0.019851552
