country,code,annual_co2_emissions_per_capita
Qatar,QAT,40.6193
New Caledonia,NCL,30.7907
Trinidad and Tobago,TTO,28.9458
Mongolia,MNG,27.4998
Curacao,CUW,23.014
Brunei,BRN,22.9822
Kuwait,KWT,22.9735
Bahrain,BHR,20.9845
Saudi Arabia,SAU,18.1628
Sint Maarten (Dutch part),SXM,16.6205
Australia,AUS,16.447
United States,USA,15.972
Kazakhstan,KAZ,15.9486
Luxembourg,LUX,15.8384
United Arab Emirates,ARE,15.7807
Democratic Republic of Congo,COD,0.031
Somalia,SOM,0.0431
Central African Republic,CAF,0.0443
Burundi,BDI,0.0611
Chad,TCD,0.063
Niger,NER,0.0795
Malawi,MWI,0.0853
Rwanda,RWA,0.094
Sierra Leone,SLE,0.123
South Sudan,SSD,0.1261
Uganda,UGA,0.1292
Ethiopia,ETH,0.1461
Madagascar,MDG,0.1502
Guinea-Bissau,GNB,0.1635
Mali,MLI,0.1876
